Job Title                    , Category      , Level , Description                                              , Required Skills
Data Analyst                 , Data          , Entry , "Analyze business data and create reports."              , "Python|SQL|Excel|Tableau|Statistics"
Business Analyst             , Business      , Entry , "Analyze business processes and provide recommendations.", "Excel|SQL|Power BI|Communication|Presentation"
Business Intelligence Analyst, Data          , Entry , "Build dashboards and business reports."                 , "SQL|Power BI|Excel|Dashboard|DAX"
Data Scientist               , AI            , Mid   , "Develop predictive models from structured data."        , "Python|Machine Learning|Pandas|NumPy|Statistics"
Machine Learning Engineer    , AI            , Mid   , "Deploy machine learning models into production."        , "Python|TensorFlow|PyTorch|Machine Learning|Deep Learning"
AI Engineer                  , AI            , Senior, "Develop artificial intelligence applications."          , "Python|TensorFlow|Deep Learning|Machine Learning|NLP"
NLP Engineer                 , AI            , Senior, "Develop natural language processing systems."           , "Python|NLP|Transformers|Machine Learning|Deep Learning"
Computer Vision Engineer     , AI            , Senior, "Develop image recognition systems."                     , "Python|OpenCV|Deep Learning|TensorFlow|PyTorch"
Data Engineer                , Data          , Mid   , "Build and maintain data pipelines."                     , "Python|SQL|PostgreSQL|ETL|Airflow"
Analytics Engineer           , Data          , Mid   , "Transform raw data into analytical datasets."           , "SQL|Python|dbt|Data Modeling|Git"
Database Administrator       , Data          , Mid   , "Manage enterprise databases."                           , "SQL|MySQL|PostgreSQL|Database Management|Backup"
BI Developer                 , Data          , Mid   , "Develop Power BI dashboards."                           , "SQL|Power BI|DAX|Excel|Data Modeling"
Data Visualization Specialist, Data          , Entry , "Create interactive dashboards."                         , "Tableau|Power BI|Excel|Visualization|SQL"
Financial Analyst            , Finance       , Entry , "Analyze financial performance."                         , "Excel|Financial Analysis|Statistics|Power BI|SQL"
Risk Analyst                 , Finance       , Mid   , "Assess business and financial risks."                   , "Excel|SQL|Risk Analysis|Statistics|Python"
Investment Analyst           , Finance       , Mid   , "Evaluate investment opportunities."                     , "Excel|Financial Modeling|Statistics|SQL|Python"
Marketing Analyst            , Marketing     , Entry , "Analyze marketing campaigns."                           , "Excel|SQL|Google Analytics|Tableau|Statistics"
Digital Marketing Analyst    , Marketing     , Entry , "Measure digital campaign performance."                  , "Google Analytics|Excel|SEO|SQL|Power BI"
SEO Specialist               , Marketing     , Entry , "Optimize website search rankings."                      , "SEO|Google Analytics|HTML|Excel|Content Marketing"
Social Media Analyst         , Marketing     , Entry , "Analyze social media performance."                      , "Excel|Google Analytics|Communication|Content Marketing|Statistics"
Product Analyst              , Business      , Entry , "Analyze product performance."                           , "SQL|Python|Excel|Communication|Statistics"
Operations Analyst           , Business      , Entry , "Improve operational efficiency."                        , "Excel|SQL|Dashboard|Power BI|Communication"
Supply Chain Analyst         , Business      , Entry , "Optimize supply chain processes."                       , "Excel|Forecasting|SQL|Statistics|Power BI"
Procurement Analyst          , Business      , Entry , "Analyze procurement performance."                       , "Excel|SQL|Negotiation|Communication|Power BI"
Research Analyst             , Research      , Entry , "Conduct business and market research."                  , "Statistics|SPSS|Excel|Research|Presentation"
HR Analyst                   , HR            , Entry , "Analyze workforce data."                                , "Excel|Power BI|Communication|Statistics|SQL"
People Analytics Specialist  , HR            , Mid   , "Analyze employee performance."                          , "Python|SQL|Power BI|Statistics|Communication"
Recruitment Analyst          , HR            , Entry , "Analyze recruitment metrics."                           , "Excel|Communication|Power BI|SQL|Statistics"
Software Engineer            , Software      , Mid   , "Develop software applications."                         , "Python|Git|SQL|Problem Solving|API"
Backend Developer            , Software      , Entry , "Develop backend services."                              , "Python|SQL|REST API|Git|FastAPI"
Frontend Developer           , Software      , Entry , "Develop frontend interfaces."                           , "HTML|CSS|JavaScript|React|Git"
Full Stack Developer         , Software      , Mid   , "Develop end-to-end applications."                       , "HTML|CSS|JavaScript|Python|SQL"
Web Developer                , Software      , Entry , "Develop responsive websites."                           , "HTML|CSS|JavaScript|Git|Bootstrap"
Mobile Developer             , Software      , Mid   , "Develop Android and iOS applications."                  , "Flutter|Dart|Firebase|Git|REST API"
QA Engineer                  , Software      , Entry , "Test software quality."                                 , "Testing|SQL|Automation|Git|Python"
DevOps Engineer              , Software      , Senior, "Maintain CI/CD pipelines."                              , "Docker|Kubernetes|Linux|Git|Python"
Cloud Engineer               , Cloud         , Mid   , "Develop cloud infrastructure."                          , "AWS|Azure|Python|Docker|Linux"
Cybersecurity Analyst        , Cybersecurity , Entry , "Protect information systems."                           , "Network Security|Python|Linux|Risk Assessment|SIEM"
SOC Analyst                  , Cybersecurity , Entry , "Monitor security incidents."                            , "SIEM|Networking|Linux|Python|Incident Response"
Penetration Tester           , Cybersecurity , Mid   , "Perform security assessments."                          , "Python|Linux|Networking|OWASP|Burp Suite"
Network Engineer             , Infrastructure, Mid   , "Maintain enterprise networks."                          , "Networking|Cisco|Linux|Firewall|Troubleshooting"
System Administrator         , Infrastructure, Mid   , "Manage IT infrastructure."                              , "Linux|Windows Server|Networking|Python|Virtualization"
IT Support Specialist        , Infrastructure, Entry , "Provide technical support."                             , "Windows|Hardware|Networking|Communication|Troubleshooting"
Project Manager              , Management    , Senior, "Lead cross-functional projects."                        , "Communication|Leadership|Planning|Risk Management|Presentation"
Project Coordinator          , Management    , Entry , "Coordinate project activities."                         , "Communication|Excel|Planning|Presentation|Organization"
Scrum Master                 , Management    , Mid   , "Facilitate Agile development."                          , "Agile|Scrum|Leadership|Communication|Planning"
Product Manager              , Management    , Senior, "Lead product development."                              , "Communication|Business Analysis|Leadership|Roadmap|SQL"
UI UX Designer               , Design        , Entry , "Design user interfaces and experiences."                , "Figma|Wireframing|Prototype|Communication|Design Thinking"
Graphic Designer             , Design        , Entry , "Create visual assets."                                  , "Photoshop|Illustrator|Canva|Creativity|Branding"
Data Entry Specialist        , Administration, Entry , "Maintain and validate company data."                    , "Excel|Data Entry|Attention to Detail|Typing|Communication"
Administrative Officer       , Administration, Entry , "Support daily office operations."                       , "Microsoft Office|Communication|Organization|Excel|Scheduling"
